"","X","text","score","polarity"
"1",1," reason trumps legal problems coming end merrick garland refused act trump skating free ",-2,"Negatif"
"2",2," victim victimhood remains centerpiece trumps message ",0,"Netral"
"3",3," party times rick wilson predicts gop will nominate donald trump ",0,"Netral"
"4",4," glad geraldo donald trump president sick fck biden plan vote president trump giving rd term first time fdr btw sparky family yesterday th",1,"Positif"
"6",6," national security adviser brands trump old tired ",0,"Netral"
"7",7," indonesian indonesia will vote donald trump ",0,"Netral"
"9",9,"modesto bee readers speak minds dryden golf courses clubhouse donald trumps run letters ",0,"Netral"
"10",10,"holocaust denier nick fuentes turns trump calls new candidate ",0,"Netral"
"11",11," party times rick wilson predicts gop will nominate donald trump alternet ",0,"Netral"
"12",12," fellow patriots trump unfinished business gave years life dealing daily torment purpose making america great people now people owe donald trump chance seek retribution lawless foes",-3,"Negatif"
"13",13,"nick fuentes turns donald trump calls new candidate ",0,"Netral"
"14",14," condemn donald trump hosting antisemites kanye west nick fuentes potential gop challengers recently called need turn page adopt welcoming narrative moving forward mention ",-2,"Negatif"
"15",15,"fellow patriots trump unfinished business gave years life dealing daily torment purpose making america great people now people owe donald trump chance seek retribution lawless foes",-3,"Negatif"
"16",16," rumination corruption donald trump latest featured article american greatness ",0,"Netral"
"17",17,"nick fuentes calls new candidate fuentes turned donald trump just days attending dinner trump maralago resortnewsweek believe turned still water front sahara sale",0,"Netral"
"18",18,"thimmks can slide potus earn typical newsom pledges run biden doesnt ",0,"Netral"
"19",19," donald trumps legal problems coming end launches rd presidential run biggest risks remain ",-2,"Negatif"
"22",22," stinks stupidity ignorance going blow face says yigal marcus republicans overseas israel donald trumps meeting nick fuentes adds voters will remember incident ballot box ",-3,"Negatif"
"23",23,"ron desantis supports donald trumps reelection declared campaign now",1,"Positif"
"24",24," message gop keeping real donald trump will win election know america knows ",1,"Positif"
"25",25,"president donald trump will maga ",0,"Netral"
"26",26,"business insider donald trumps legal problems coming end launches rd presidential run biggest risks remain ",-2,"Negatif"
